"GEO_ID","NAME","Median household income","Margin of Error",
"860Z200US91752","ZCTA5 91752","98913","5958",
"860Z200US92028","ZCTA5 92028","87754","5874",
"860Z200US92201","ZCTA5 92201","50144","4290",
"860Z200US92203","ZCTA5 92203","80430","3427",
"860Z200US92210","ZCTA5 92210","120680","21328",
"860Z200US92211","ZCTA5 92211","72445","8485",
"860Z200US92220","ZCTA5 92220","48622","3735",
"860Z200US92223","ZCTA5 92223","90074","5682",
"860Z200US92225","ZCTA5 92225","48102","8032",
"860Z200US92230","ZCTA5 92230","66337","11297",
"860Z200US92234","ZCTA5 92234","56671","4151",
"860Z200US92236","ZCTA5 92236","40641","3632",
"860Z200US92239","ZCTA5 92239","39750","36876",
"860Z200US92240","ZCTA5 92240","42155","3300",
"860Z200US92241","ZCTA5 92241","36268","5789",
"860Z200US92253","ZCTA5 92253","83348","7027",
"860Z200US92254","ZCTA5 92254","28897","3259",
"860Z200US92258","ZCTA5 92258","21641","19377",
"860Z200US92260","ZCTA5 92260","63023","7079",
"860Z200US92262","ZCTA5 92262","60289","3832",
"860Z200US92264","ZCTA5 92264","63518","3177",
"860Z200US92270","ZCTA5 92270","95158","11815",
"860Z200US92274","ZCTA5 92274","26500","4110",
"860Z200US92276","ZCTA5 92276","56055","11484",
"860Z200US92277","ZCTA5 92277","47049","4503",
"860Z200US92282","ZCTA5 92282","42500","17743",
"860Z200US92320","ZCTA5 92320","67835","8038",
"860Z200US92324","ZCTA5 92324","61070","3249",
"860Z200US92373","ZCTA5 92373","86430","9784",
"860Z200US92399","ZCTA5 92399","76311","5605",
"860Z200US92501","ZCTA5 92501","71980","7057",
"860Z200US92503","ZCTA5 92503","80594","4017",
"860Z200US92504","ZCTA5 92504","73153","4748",
"860Z200US92505","ZCTA5 92505","72721","3975",
"860Z200US92506","ZCTA5 92506","107085","4921",
"860Z200US92507","ZCTA5 92507","61410","3524",
"860Z200US92508","ZCTA5 92508","129794","5454",
"860Z200US92509","ZCTA5 92509","81747","4750",
"860Z200US92518","ZCTA5 92518","85435","37910",
"860Z200US92521","ZCTA5 92521","-","**",
"860Z200US92530","ZCTA5 92530","70714","4849",
"860Z200US92532","ZCTA5 92532","94752","8816",
"860Z200US92536","ZCTA5 92536","65509","28432",
"860Z200US92539","ZCTA5 92539","48954","6786",
"860Z200US92543","ZCTA5 92543","41826","3378",
"860Z200US92544","ZCTA5 92544","57881","3156",
"860Z200US92545","ZCTA5 92545","49458","3424",
"860Z200US92548","ZCTA5 92548","54444","12059",
"860Z200US92549","ZCTA5 92549","72738","18302",
"860Z200US92551","ZCTA5 92551","80287","8770",
"860Z200US92553","ZCTA5 92553","59966","2889",
"860Z200US92555","ZCTA5 92555","98162","6907",
"860Z200US92557","ZCTA5 92557","79833","4140",
"860Z200US92561","ZCTA5 92561","62115","44758",
"860Z200US92562","ZCTA5 92562","101667","4006",
"860Z200US92563","ZCTA5 92563","105106","7692",
"860Z200US92567","ZCTA5 92567","86818","16166",
"860Z200US92570","ZCTA5 92570","68305","5012",
"860Z200US92571","ZCTA5 92571","73026","4283",
"860Z200US92582","ZCTA5 92582","78812","7207",
"860Z200US92583","ZCTA5 92583","50847","4666",
"860Z200US92584","ZCTA5 92584","103842","5260",
"860Z200US92585","ZCTA5 92585","89105","11912",
"860Z200US92586","ZCTA5 92586","50921","4248",
"860Z200US92587","ZCTA5 92587","95000","19343",
"860Z200US92590","ZCTA5 92590","65389","7687",
"860Z200US92591","ZCTA5 92591","94745","7632",
"860Z200US92592","ZCTA5 92592","114281","4976",
