,GEO_ID,ZipCode,Median household income,Margin of Error
0,860Z200US91752,91752,98913,5958
1,860Z200US92028,92028,87754,5874
2,860Z200US92201,92201,50144,4290
3,860Z200US92203,92203,80430,3427
4,860Z200US92210,92210,120680,21328
5,860Z200US92211,92211,72445,8485
6,860Z200US92220,92220,48622,3735
7,860Z200US92223,92223,90074,5682
8,860Z200US92225,92225,48102,8032
9,860Z200US92230,92230,66337,11297
10,860Z200US92234,92234,56671,4151
11,860Z200US92236,92236,40641,3632
12,860Z200US92239,92239,39750,36876
13,860Z200US92240,92240,42155,3300
14,860Z200US92241,92241,36268,5789
15,860Z200US92253,92253,83348,7027
16,860Z200US92254,92254,28897,3259
17,860Z200US92258,92258,21641,19377
18,860Z200US92260,92260,63023,7079
19,860Z200US92262,92262,60289,3832
20,860Z200US92264,92264,63518,3177
21,860Z200US92270,92270,95158,11815
22,860Z200US92274,92274,26500,4110
23,860Z200US92276,92276,56055,11484
24,860Z200US92277,92277,47049,4503
25,860Z200US92282,92282,42500,17743
26,860Z200US92320,92320,67835,8038
27,860Z200US92324,92324,61070,3249
28,860Z200US92373,92373,86430,9784
29,860Z200US92399,92399,76311,5605
30,860Z200US92501,92501,71980,7057
31,860Z200US92503,92503,80594,4017
32,860Z200US92504,92504,73153,4748
33,860Z200US92505,92505,72721,3975
34,860Z200US92506,92506,107085,4921
35,860Z200US92507,92507,61410,3524
36,860Z200US92508,92508,129794,5454
37,860Z200US92509,92509,81747,4750
38,860Z200US92518,92518,85435,37910
40,860Z200US92530,92530,70714,4849
41,860Z200US92532,92532,94752,8816
42,860Z200US92536,92536,65509,28432
43,860Z200US92539,92539,48954,6786
44,860Z200US92543,92543,41826,3378
45,860Z200US92544,92544,57881,3156
46,860Z200US92545,92545,49458,3424
47,860Z200US92548,92548,54444,12059
48,860Z200US92549,92549,72738,18302
49,860Z200US92551,92551,80287,8770
50,860Z200US92553,92553,59966,2889
51,860Z200US92555,92555,98162,6907
52,860Z200US92557,92557,79833,4140
53,860Z200US92561,92561,62115,44758
54,860Z200US92562,92562,101667,4006
55,860Z200US92563,92563,105106,7692
56,860Z200US92567,92567,86818,16166
57,860Z200US92570,92570,68305,5012
58,860Z200US92571,92571,73026,4283
59,860Z200US92582,92582,78812,7207
60,860Z200US92583,92583,50847,4666
61,860Z200US92584,92584,103842,5260
62,860Z200US92585,92585,89105,11912
63,860Z200US92586,92586,50921,4248
64,860Z200US92587,92587,95000,19343
65,860Z200US92590,92590,65389,7687
66,860Z200US92591,92591,94745,7632
67,860Z200US92592,92592,114281,4976
68,860Z200US92595,92595,83799,6781
69,860Z200US92596,92596,106957,7243
70,860Z200US92860,92860,115773,7206
71,860Z200US92879,92879,76973,5295
72,860Z200US92880,92880,128425,9500
73,860Z200US92881,92881,125134,7634
74,860Z200US92882,92882,90900,4797
75,860Z200US92883,92883,112151,11246
